Subject,1--1,1--2,1--3,1--4,2--1,2--2,2--3,2--4
1,6,6,50,50,11,11,50,50
2,11,8,20,80,6,8,10,90
3,8,8,60,40,8,7,66,34
4,6,6,55,45,4,5,83,17
5,6,7,60,40,9,9,20,80
6,6,6,50,50,7,7,40,60
7,6,6,50,50,8,5,74,26
8,7,7,74,26,7,7,29,71
9,10,7,30,70,6,6,50,50
10,8,6,20,80,6,7,0,100
11,8,9,90,10,9,9,40,60
12,11,11,42,58,11,11,28,72
13,8,7,64,36,11,11,50,50
14,11,7,50,50,11,8,15,85
15,4,5,18,82,7,6,77,23
16,6,4,0,100,5,5,88,12
17,6,5,18,82,9,6,23,77
18,11,10,90,10,9,7,37,63
19,6,6,50,50,5,5,50,50
20,7,8,74,26,11,11,33,67
21,1,1,50,50,6,6,50,50
22,9,9,50,50,9,8,85,15
23,6,6,49,51,11,11,0,100
24,9,8,54,46,9,10,20,80
25,11,10,81,19,11,11,100,0
26,5,5,50,50,11,7,20,80
27,6,7,63,37,9,8,12,88
28,6,7,50,50,11,9,35,65
29,6,6,50,50,5,6,10,90
30,5,7,49,51,6,6,50,50
31,6,6,44,56,11,9,79,21
32,5,7,60,40,7,6,43,57
33,11,10,81,19,7,7,10,90
34,6,6,50,50,7,6,70,30
35,11,11,49,51,6,5,64,36
36,1,4,60,40,10,4,80,20
37,6,6,50,50,6,7,40,60
38,11,6,50,50,9,9,0,100
39,8,9,50,50,7,7,21,79
40,6,6,50,50,6,6,50,50
41,5,5,78,22,8,7,16,84
42,7,9,70,30,6,7,24,76
43,9,9,81,19,9,8,19,81
44,5,5,50,50,3,6,51,49
45,10,8,35,65,6,6,50,50
46,11,11,100,0,11,11,100,0
47,11,11,90,10,7,7,20,80
48,11,8,71,29,5,7,19,81
49,8,9,100,0,7,8,0,100
50,10,10,77,23,7,7,52,48
51,8,6,39,61,4,5,40,60
52,11,9,80,20,7,8,26,74
53,6,6,48,52,9,7,26,74
54,6,7,19,81,11,10,24,76
55,1,6,20,80,6,6,20,80
56,7,6,46,54,7,6,50,50
57,8,10,100,0,6,6,50,50
58,8,8,84,16,6,7,17,83