Subject,1--1,1--2,1--3,1--4,1--5,1--6,1--7,1--8,2--1,2--2,2--3,2--4,2--5,2--6,3--1,3--2,3--3,3--4,3--5,3--6,4--1,4--2,4--3,4--4,4--5,4--6,4--7,5--1,5--2,5--3,5--4,5--5,5--6,5--7,5--8,6--1,6--2,6--3,6--4,6--5,6--6,6--7,6--8,7--1,7--2,7--3,7--4,7--5,7--6,7--7,7--8,7--9
1,8,6,7,25,43,32,64,36,8,8,8,40,37,23,2,7,2,7,35,58,2,2,29,71,2,23,75,8,8,8,35,34,31,45,55,8,2,75,25,1,45,9,45,2,3,9,9,40,13,47,24,76
2,2,6,3,5,59,36,84,16,6,8,8,39,10,51,3,3,2,16,40,44,4,5,50,50,16,42,42,8,5,6,63,20,17,69,31,6,6,27,73,3,19,53,25,3,9,10,4,16,72,12,64,36
3,3,6,4,40,32,28,20,80,3,4,4,60,13,27,4,3,2,43,24,33,3,3,50,50,14,21,65,8,7,8,18,42,40,50,50,8,8,50,50,30,3,65,2,8,7,7,7,24,52,24,61,39
4,7,6,8,40,30,30,50,50,2,3,2,30,50,20,5,6,5,33,34,33,6,6,65,35,30,50,20,6,7,7,40,40,20,50,50,7,4,60,40,25,20,25,30,3,5,9,5,45,30,25,60,40
5,3,6,3,10,83,7,53,47,8,7,9,31,63,6,4,7,4,26,69,5,3,3,30,70,21,36,43,7,8,9,30,62,8,50,50,4,3,46,54,19,37,25,19,6,7,6,7,36,50,14,57,43
6,8,6,6,31,39,30,50,50,4,8,7,59,21,20,8,3,7,20,40,40,3,4,61,39,19,42,39,7,9,8,35,35,30,44,56,4,6,81,19,7,7,80,6,3,7,6,7,59,20,21,51,49
7,8,6,8,9,77,14,49,51,8,8,10,80,0,20,1,8,1,0,100,0,10,10,0,100,0,50,50,2,8,2,0,100,0,51,49,8,8,50,50,0,23,27,50,2,7,8,2,0,100,0,49,51
8,1,6,1,0,100,0,50,50,1,4,1,17,65,18,7,8,8,33,35,32,4,4,25,75,0,22,78,8,9,9,35,37,28,39,61,8,5,84,16,62,12,12,14,8,7,7,9,13,74,13,50,50
9,2,6,2,0,93,7,50,50,2,7,2,9,63,28,1,7,2,8,59,33,2,2,43,57,24,21,55,10,4,10,0,83,17,49,51,3,2,37,63,20,73,6,1,9,7,9,9,20,74,6,42,58
10,5,6,5,0,100,0,50,50,2,3,2,33,34,33,9,8,9,20,60,20,8,2,100,0,0,0,100,3,8,7,70,0,30,100,0,9,9,20,80,0,0,100,0,10,9,9,10,59,33,8,30,70
11,6,6,7,35,45,20,66,34,1,8,4,60,20,20,2,3,1,20,50,30,4,6,55,45,40,45,15,8,8,8,20,55,25,60,40,4,7,60,40,25,25,50,0,3,5,8,5,26,40,34,38,62
12,7,6,4,50,43,7,55,45,4,9,8,40,19,41,3,6,3,10,83,7,7,4,0,100,21,73,6,6,4,7,0,74,26,100,0,3,4,19,81,8,66,8,18,7,7,7,7,30,55,15,50,50
13,3,6,4,11,50,39,40,60,2,7,5,15,48,37,9,9,9,30,40,30,1,1,50,50,49,18,33,10,9,9,19,63,18,50,50,7,4,80,20,20,20,20,40,9,7,8,9,24,43,33,50,50
14,9,6,8,10,70,20,30,70,3,8,4,20,31,49,3,2,2,30,40,30,7,8,80,20,15,71,14,8,9,9,60,22,18,29,71,4,2,19,81,0,49,0,51,6,8,7,7,29,44,27,39,61
15,6,6,6,32,32,36,49,51,6,8,7,49,51,0,3,8,5,40,30,30,7,8,50,50,21,73,6,3,10,6,30,51,19,46,54,8,6,51,49,15,11,66,8,5,6,7,8,15,32,53,51,49